排名,名称,城市,所在地区,所在洲,高度(米),高度(英尺),楼层,落成年份
143,财富中心一期写字楼,北京, 中国大陆,亚洲,260米,835英尺,63,2008
150,奇异电器大楼,纽约, 美国,北美洲,259米,850英尺,69,1933
150,芝加哥大通大厦,芝加哥, 美国,北美洲,259米,850英尺,60,1969
150,商业银行大厦,法兰克福, 德国,欧洲,259米,850英尺,56,1997
150,菲律宾通讯银行大厦,马尼拉, 菲律宾,亚洲,259米,850英尺,55,2000
154,自由广场二号大厦,费城, 美国,北美洲,258米,848英尺,58,1990
155,华敏帝豪大厦,上海, 中国大陆,亚洲,258米,846英尺,63,2011
155,浪高・君悦大酒店,重庆, 中国大陆,亚洲,258米,846英尺,60,2006
155,环球188-2塔楼,苏州, 中国大陆,亚洲,258米,846英尺,50,2010
155,润华国际大厦,无锡, 中国大陆,亚洲,258米,846英尺,55,2009
159,公园大楼,芝加哥, 美国,北美洲,257米,844英尺,67,2000
160,德国商品交易会大厦,法兰克福, 德国,欧洲,257米,842英尺,55,1990
161,擎天半岛第一座,香港, 香港,亚洲,256米,841英尺,75,2003
162,美国钢铁大楼,匹兹堡, 美国,北美洲,256米,841英尺,64,1970
163,杜拜海港酒店,杜拜, 阿联酋,亚洲,256米,840英尺,59,2007
164,木洞海波利昂中心1期A座,首尔, 韩国,亚洲,256米,840英尺,69,2003
165,临空迎宾塔大厦,泉佐野市, 日本,亚洲,256米,840英尺,56,1996
166,新世纪广场A座,南京, 中国大陆,亚洲,255.2米,837英尺,48,2006
167,朗豪坊办公大楼,香港, 香港,亚洲,255.1米,837英尺,59,2004
168,港丽酒店,杜拜, 阿联酋,亚洲,255米,837英尺,51,2012
169,资金大厦,新加坡, 新加坡,亚洲,254米,833英尺,52,2000
170,印第安纳波利斯大通大厦,印第安纳波利斯, 美国,北美洲,253米,829英尺,48,1990
171,晓庐,香港, 香港,亚洲,252米,828英尺,72,2003
172,大阪世界贸易中心,大阪, 日本,亚洲,252米,827英尺,55,1995
172,上海中银大厦,上海, 中国大陆,亚洲,252米,827英尺,42,2005
174,君临天下,香港, 香港,亚洲,251米,824英尺,73,2003
174,丽奥图中心,墨尔本, 澳大利亚,北美洲,251米,824英尺,63,1986
176,嘉利广场,武汉, 中国大陆,亚洲,251米,823英尺,61,1997
177,卡乍马德里大楼,马德里, 西班牙,欧洲,250米,820英尺,45,2007
177,银泰中心2座,北京, 中国大陆,亚洲,250米,820英尺,63,2007
177,第一亚特兰大中心,亚特兰大, 美国,北美洲,250米,820英尺,50,1987
177,车尔斯大楼,杜拜, 阿联酋,亚洲,250米,820英尺,49,2005
177,威势马46大厦,雅加达, 印尼,亚洲,250米,820英尺,48,1996
177,安沙那商务大楼,杜拜, 阿联酋,亚洲,250米,820英尺,50,2007
177,安沙那酒店大楼,杜拜, 阿联酋,亚洲,250米,820英尺,50,2008
184,AQUA,芝加哥, 美国,北美洲,250米,819英尺,82,2009
184,精品大厦,芝加哥, 美国,北美洲,250米,819英尺,72,2009
186,帝国大厦1座,孟买, 印度,亚洲,249米,817英尺,60,2009
186,帝国大厦2座,孟买, 印度,亚洲,249米,817英尺,60,2009
186,马德里水晶大厦,马德里, 西班牙,欧洲,249米,817英尺,45,2007
186,大韩生命63大厦,首尔, 韩国,亚洲,249米,817英尺,60,1985
186,中央公园,珀斯, 澳大利亚,大洋洲,249米,817英尺,52,1992
186,阿泰勒大楼,杜拜, 阿联酋,亚洲,249米,817英尺,59,2009
192,城峰中心,纽约, 美国,北美洲,248米,814英尺,75,1989
192,杭州电信大楼,杭州, 中国大陆,亚洲,248米,814英尺,41,2003
194,第一大通曼哈顿广场,纽约, 美国,北美洲,248米,813英尺,60,1961
194,中城大厦,东京, 日本,亚洲,248米,813英尺,54,2007
196,国家大楼,曼谷, 泰国,亚洲,247米,811英尺,68,2001
197,丰田每日新闻大厦,名古屋, 日本,亚洲,247米,810英尺,40,2006
198,康泰纳仕大楼,纽约, 美国,北美洲,247米,809英尺,48,1999
199,大都会人寿大厦,纽约, 美国,北美洲,246米,808英尺,60,1963
200,彭博大厦,纽约, 美国,北美洲,246米,806英尺,54,2005
