            排序,            电影,            类型,            档期,            场次（万场）,            人次（万人）,            票房（万元）,            发行公司
84,            背水一战,            动作/犯罪 ,10.24,12.56,161.05,4910,            完美世界
85,            森林战士,            动画,11.29,7.89,147.39,4854,            中影数字
86,            劫案迷云,            动作/惊悚,3.1,9.761,143,4470,            中影
87,            神奇,            动作/科幻,9.28,5.21,94.83,4469,            上影股份
88,            控制,            悬疑,11.22,11.23,142.24,4374,            华谊兄弟
89,            辛巴达历险记,            动画,5.31,6.3,139.6,3904,            卡通先生
90,            开心超人,            动画/冒险,6.28,6.25,119.98,3451,            小马奔腾
91,            在一起,            爱情,2.12,5.99,95.7,3288,            中影
92,            私奔B计划,            喜剧/动作,10.25,8.16,107.67,3235,            华夏
93,            白狐,            爱情/奇幻,9.28,5.79,84.48,3154,            浙江横店
94,            我爱的是你爱我,            爱情,11.8,8.35,96.66,3005,            乐视影业
95,            越来越好之村晚,            喜剧,2.1,6.54,92.4,3000,            小马奔腾
96,            特警判官,            动作/科幻,3.1,7.37,82.55,2980,            中影
97,            超级经纪人,            喜剧,9.6,7.16,93.68,2868,            英皇电影
98,            青春派,            爱情,8.2,6.91,97.55,2810,            中影
99,            太极侠,            动作,7.5,5.81,79.07,2746,            万达影视
100,            魁拔2,            动画,5.31,4.74,74.33,2535,            博纳影业
